transaction_count,unique_actions,days_active,avg_daily_transactions,total_deposits,total_borrows,total_repays,total_redeems,avg_deposit_size,avg_borrow_size,avg_repay_size,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,liquidation_count,total_volume,repay_ratio,borrow_deposit_ratio,activity_diversity,userWallet,credit_score
1,1,1,1.0,2000000000.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00000000001accfa9cef68cf5371a23025b6d4b6,607.5
1,1,1,1.0,1.45e+20,0.0,0.0,0.0,1.45e+20,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000000000051d07a4fb3bd10121a343d85818da6,607.5
2,1,8,0.25,5000000000000000.0,0.0,0.0,0.0,2500000000000000.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000000000096026fb41fc39f9875d164bd82e2dc,609.0
17,1,130,0.13076923076923078,0.0,0.0,0.0,4.835297129866919e+18,0.0,0.0,0.0,0,0,0,17,0,0,0.0,0.0,0.0,0.2,0x0000000000e189dd664b9ab08a33c4839953852c,531.5
399,4,133,3.0,9.45936581470771e+22,3.946000000007e+22,70024572850.0,3.946555879661169e+22,3.783746325883084e+20,2.6306666666713337e+21,17506143212.5,250,15,4,130,0,0,1.3405365814721712e+23,1.7745710301539731e-12,0.41715270106920266,0.8,0x0000000002032370b971dabd36d72f3e5a7bf1ee,824.0000000001775
25,4,40,0.625,1.06096172676103e+22,11605000000.0,11613645226.0,2.3008854394743634e+18,1.515659609658614e+21,1450625000.0,2322729045.2,7,8,5,5,0,0,1.0609617267633519e+22,1.0007449570012925,1.0938189104548067e-12,0.8,0x000000000a38444e0a6e37d3b630d7e855a7cb13,861.5
8,1,8,1.0,4.542699271260784e+16,0.0,0.0,0.0,5678374089075980.0,0.0,0.0,8,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000000003853fcedcd0355fec98ca3192833f00b,668.0
492,4,124,3.967741935483871,2.7418827529682684e+23,8.633978978750131e+22,3.3681345309004864e+20,1.848882416032951e+23,8.873406967534849e+20,2.8779929929167106e+21,2.105084081812804e+19,309,30,16,137,0,0,3.608648785374182e+23,0.0039010223897812443,0.3148923479460703,0.8,0x000000003ce0cf2c037493b1dc087204bd7f713e,824.3901022389781
1,1,1,1.0,9.264749382774971e+16,0.0,0.0,0.0,9.264749382774971e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000000007858e6f2668e1e06111cfa24403a5466,607.5
1,1,1,1.0,1797442.0,0.0,0.0,0.0,1797442.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00000001a0f57e850c9db68b4a9bc34677437c5c,607.5
69,4,31,2.225806451612903,8.005480506185253e+23,5.979480506185253e+23,5.991795354062132e+23,8.01754315692455e+23,3.0790309639174048e+22,2.491450210910522e+22,6.657550393402369e+22,26,24,9,10,0,0,1.9976756366432637e+24,1.0020595180240393,0.7469233735021081,0.8,0x0000000506063a51c6ce59906d8c40f7d7fe92a7,924.0
47,4,3,15.666666666666666,2.7034675765792667e+24,1.2044886209729239e+24,1.2046779586262698e+24,2.703896282758299e+24,2.252889647149389e+23,1.0037405174774365e+23,1.0038982988552248e+23,12,12,12,11,0,0,5.11263415617846e+24,1.000157193393154,0.4455347019537698,0.8,0x00000029ff545c86524ade7caf132527707948c4,894.5
250,4,101,2.4752475247524752,2.000200538589319e+22,2.1000000001237225e+22,1.1798988409671993e+21,1.0067568570534058e+18,2.325814579755022e+20,3.387096774393101e+20,2.621997424371554e+19,86,62,45,57,0,0,4.218190422809761e+22,0.05618565909036595,1.0498947278580322,0.8,0x00000087c4cebffb95746d1935de7fbcab092f40,829.6185659090366
